,0,Title
0,7.2,Sicario
1,6.8,Now You See Me
2,8.5,Life of Pi
3,5.0,The Dictator
4,5.0,Divergent
5,5.8,Taken 3
6,3.0,Movie 43
7,6.5,Megamind
8,8.8,Children of Men
9,5.3,Pirates of the Caribbean: On Stranger Tides
10,8.1,21 Jump Street
11,6.0,Pirates of the Caribbean: At World's End
12,7.5,Cars
13,6.0,Ghostbusters
14,7.0,Avatar
15,8.4,The Hobbit: The Battle of the Five Armies
16,8.7,Interstellar
17,7.6,X-Men: Days of Future Past
18,4.0,Spider-Man 3
19,7.8,American Hustle
20,7.8,Sausage Party
21,6.2,Oblivion
22,5.0,Looper
23,8.0,Fast & Furious
24,6.5,Blended
25,4.0,The Fault in Our Stars
26,7.8,Silver Linings Playbook
27,3.5,Insurgent
28,6.5,John Wick
29,7.6,Finding Dory
30,5.2,Grown Ups
31,6.0,Ghost Rider
32,6.8,Spy
33,2.0,Spring Breakers
34,8.9,WALL·E
35,8.2,American Sniper
36,6.1,Transformers: Dark of the Moon
37,9.2,Toy Story 3
38,9.1,Up
39,8.2,How to Train Your Dragon
40,8.1,Zootopia
41,9.8,The Dark Knight
42,7.6,How to Train Your Dragon 2
43,8.0,Ratatouille
44,8.7,Wreck-It Ralph
45,9.4,Inception
46,8.6,Despicable Me
47,7.8,Disturbia
48,6.7,The Purge
49,4.0,Now You See Me 2
50,9.4,Django Unchained
51,9.0,Snowpiercer
52,8.5,Ex Machina
53,8.1,Inside Man
54,9.2,The Prestige
55,8.8,The Departed
56,8.3,Whiplash
57,8.4,The Dark Knight Rises
58,8.0,Kung Fu Panda
59,9.2,Inglourious Basterds
60,5.0,The Wolverine
61,8.1,The Founder
62,9.6,Arrival
63,9.0,The Hunger Games: Catching Fire
64,7.2,Despicable Me 2
65,8.1,Argo
66,9.3,Room
67,9.3,The Wolf of Wall Street
68,8.5,Spotlight
69,9.5,The Imitation Game
70,9.0,The Grand Budapest Hotel
71,8.5,Cloverfield
72,4.0,The Internship
73,7.2,"Hail, Caesar!"
74,4.2,This Is the End
75,5.0,The Amazing Spider-Man
76,2.0,The Twilight Saga: Breaking Dawn - Part 2
